,gH2AX,CD16,CD3,CD4,CD8,Lamin
Without domain-specific latent,1.33615274335557,0.941924043254241,1.32135064761194,1.35645953806717,1.05377827958954,1.16592718943077
Autoencoder,1.92059204540708,1.06347840282908,1.34613066273541,2.16244593025198,1.71750067631886,1.30793771401877
Inpainting,13.4190014905565,3.70909263010729,4.8840654036735,7.27371522633145,5.62298693894423,6.77534817816699
