,chromatin,gH2AX,CD16,CD3,CD4,CD8,Lamin
Our model - MSE loss,1.10447281895027,0.998605550085583,1.93200246992711,0.993447353419462,0.970883210958582,1.27537175150757,0.970204848738787
Autoencoder,0.820147562943163,1.97580648538742,0.847753276690329,1.08276775061302,0.996948789361527,1.14828708548278,1.0459844479178
Without modality-specific latent,2.2163882426511,1.86223107625878,1.24096096477099,1.3421871881648,1.5746539259878,1.62405990791904,1.10867972455
